"id","title","details","index","is_visible","is_active","is_free","chapter_id","duration","vimeo_id","filename","created_at","updated_at","deleted_at"
"25","Polymorphic Relationships","Let's create a more advanced relationship that is the polymorphic relationship (MorphTo) and see how we can use it with our Resources","11","1","1","0","2","408","463229822","Mastering Nova - Polymorphic Relationships.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"26","Many-to-Many Relationships with additional pivot columns","Another complex relationship, but with the fact that you will also have access to the additional fields in your pivot table, and also how to use it with custom pivot names","12","1","1","0","2","202","463255054","Mastering Nova - Many-to-Many Relationships with additional pivot columns.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"27","Changing Stub Files","You can export the default stub files and change them. Let's get an example on one of them and see how you can further use it","13","1","1","0","2","148","463822872","Mastering Nova - Changing Stub Files.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"28","Configuring field groups for each display context","On Nova 3.1.0 you have the ability to change the behavior of fields based on their visibility context (index, form, detail). Let's see a pratical example on how to change a field data based on these display contexts","14","1","1","0","2","143","463832522","Mastering Nova - Configuring field groups for each display context.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"29","Resource 1-o-1 Checklist Guidelines","Time to wrap up a bit and create what I call a Resource checklist! Meaning, how to do you follow a sequence of actions and validations to guarantee that you have covered it all when creating your Resources","15","1","1","0","2","948","463966964","Mastering Nova - Resource 1-o-1 Checklist Guidelines.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"30","What is an UI Component?","Anything that you normally extend on Nova is an UI component: A Field, Card, Lenses, Filter, Metric or a Tool. Let's see the structure and start understanding how Nova interacts with custom UI Components","1","1","1","0","3","338","465169834","Mastering Nova - What is an UI Component.mp4","2020-10-02 09:36:54","2020-10-08 19:59:28",NULL
"31","Data flow between Client and Server in an UI Tool","Lets evolve a Tool to show an example how to transport data between your frontend to the server, and return transformed data into your frontend again","2","1","1","0","3","840","466346820","Mastering Nova - Data flow between Client and Server in an UI Tool.mp4","2020-10-02 09:36:54","2020-10-09 06:06:56",NULL
"32","UI Component properties you can use","What Vue properties do you have that are given by Nova? Let's explore these properties and take the best of them","3","1","1","0","3","896","466816763","Mastering Nova - UI Component properties you can use.mp4","2020-10-02 09:36:54","2020-10-10 08:42:03",NULL
"33","Reusing Nova UI Components","What if on your Tool we can reuse Nova Vue Components? Lets not re-invent the wheel then","4","1","1","0","3","711","466950177","Mastering Nova - Reusing default Nova UI Components.mp4","2020-10-02 09:36:54","2020-10-10 21:37:14",NULL
"34","Using $emit events","A Nova way to transfer data between frontend UI components is to use the emit event. It will broadcast an event, for others to then trigger further actions","5","1","1","0","3","613","467171017","Mastering Nova - Using $emit events.mp4","2020-10-02 09:36:54","2020-10-15 11:50:05",NULL
"35","Pratical example with $emit on 2 Dropdowns","Let's see the $emit event in practise working between 2 dropdowns. One dropdown will affect the value change of another dropdown","6","1","1","0","3","1794","472025908","Mastering Nova - Pratical example with $emit on 2 Dropdowns.mp4","2020-10-02 09:36:54","2020-10-25 23:55:50",NULL
"36","Let's build a Tool! Helpdesk System","Let's create a ticketing system together! Starting by creating the composer package","7","1","1","0","3","883","472802328","Mastering Nova - Lets build a Tool - Helpdesk System.mp4","2020-10-02 09:36:54","2020-10-27 22:25:15",NULL
"37","Managing Ticket permissions and authorizations","Lets continue to create the Tool but now implementing the correct authorization and operator permissions, and see impacts of when to use the right approach or not.","8","1","1","1","3","1154","473656340","Mastering Nova - Managing Tickets Permissions and Authorizations.mp4","2020-10-02 09:36:54","2020-10-30 00:44:32",NULL
"38","Creating a quick My Tickets / Unassigned Filter","Lets create a quick filter just to have the Operator having filters his tickets by the ones assigned to himself or unassigned ones","9","1","1","0","3","334","475269589","Mastering Nova - Creating a quick My Tickets-Unassigned Filter.mp4","2020-10-02 09:36:54","2020-11-04 21:49:11",NULL
"39","Creating the Assign to Myself Action","If you are an Operator, you might want to have an Action that allows you to assign the Ticket to yourself. Lets see how to do that","10","1","1","0","3","378","478700342","Mastering Nova - Creating the Assign to Myself Action.mp4","2020-10-02 09:36:54","2020-11-12 23:23:51",NULL
"40","Creating the Assign to Operator Action","Lets find a way to create an Action, only usable by Supervisors, and that allows us to assign a ticket to a selectable Operator","11","1","1","0","3","366","476734445","Mastering Nova - Creating the Assign to Operator Action.mp4","2020-10-02 09:36:54","2020-11-08 01:08:09",NULL
"41","Optimizing the Assign to Myself Action","Lets optimize the Assign to Myself action so it only appears on the Resource index lines that don't have an Operation assigned to","12","1","1","0","3","435","479413167","Mastering Nova - Optimizing the Assignment to Myself Action.mp4","2020-10-02 09:36:54","2020-11-15 01:59:42",NULL
"42","Creating another Action to unassign tickets","So, let's create a final action that will allow you to put back the ticket into the tickets queue, but this time you will learn a very specific behavior that Nova has","13","1","1","0","3","543","496310080","Mastering Nova - Creating another Action to unassign tickets.mp4","2020-10-02 09:36:54","2021-01-02 02:01:49",NULL
"43","Creating a Total Tickets UI Component Card","Finally, let's put some visual KPI's to create a Total Tickets Card, from scratch, inside a new customized Dashboard","14","1","1","0","3","431","497615248","Mastering Nova - Creating a Total Tickets UI Component Card.mp4","2020-10-02 09:36:54","2021-01-06 12:46:37",NULL
"44","Resource Testing 1-o-1","A pratical scenario on how to test your Resources so you can get an initial view on it using a package made by Brian Dillingham","15","1","1","0","3","733","485727247","Mastering Nova - Resource Testing 1-o-1.mp4","2020-10-02 09:36:54","2020-11-30 23:51:16",NULL
"45","Search Relations","By default, Laravel Nova doesn't allow you to search in the Index View, in Relationship columns. This package will make that available to you","1","1","1","0","4","181","463990113","Mastering Nova - Search Relations.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"46","Button Field","Brian Dillingham made an awesome field that is a button that can have any action you want","2","1","1","0","4","466","469964875","Mastering Nova - Button Field.mp4","2020-10-02 09:36:54","2020-10-19 22:08:51",NULL
"47","Ajax Child Select","When you have several dropdowns you can connect them so the child ones will be updated given the value of the parent dropdown","3","1","1","0","4","547","481001414","Mastering Nova - Ajax Child Select Field.mp4","2020-10-02 09:36:54","2020-11-18 23:51:29",NULL
"48","Chart JS","When you need to show visual data on your dashboards, nothing is as good as this Nova Package","4","1","1","1","4","289","496860973","Mastering Nova - Chart JS.mp4","2020-10-02 09:36:54","2021-01-04 13:09:12",NULL
"49","Nova Responsive","By default, Nova is not responsive. This package gives you the minimum responsiveness under the default framework","5","1","1","0","4","215","482831792","Mastering Nova - Responsive Package.mp4","2020-10-02 09:36:54","2020-11-23 23:03:27",NULL
"50","Integrating OAuth authentication with Laravel Socialite","Lets change the login workflow to include OAuth authentication with 3rd party authentication providers like Github or Twitter","16","1","1","0","3","392","496489215","Mastering Nova - Integrating OAuth authentication with Laravel Socialite.mp4","2020-10-08 19:59:28","2021-01-02 23:23:48",NULL
"51","Spatie Multi-Tenancy","Spatie have a package about how to use multitenancy in your web apps. Lets learn how to use it inside Nova, having a way to connect to the respective tenant database accordingly to the tenant subdomain","6","1","1","1","4","595","497772054","Mastering Nova - Spatie Multitenancy.mp4","2020-10-08 19:59:28","2021-02-16 18:22:00",NULL
